name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source

Stone Read,general,Knowledge (dungeoneering) 4 ranks.,Faint vibrations in stone can alert you to trouble.,"You gain a +3 bonus on Perception checks in underground or mountainous environments. If you have 10 or more ranks in Knowledge (dungeoneering), this bonus increases to +6.",,,,,,Knowledge (dungeoneering) 4,,,Inner Sea Gods

Stone Strider,general,"Stonecunning racial trait, worshiper of Torag.",You discern the best path through rocky terrain.,"You can move through any sort of nonmagical rocky terrain without taking damage, becoming slowed due to difficult terrain, or suffering any other impairments the terrain would otherwise cause.",,,,,,,,,Inner Sea Gods

Sun Striker,critical/combat,"Critical Focus, Weapon Focus (scimitar), character level 7th, worshiper of Sarenrae.","Called by the Dawnf lower to strike down the undead, your scimitar becomes an agent of her burning will.","Whenever you confirm a critical hit against an undead creature, your attack bypasses all DR, deals full damage to incorporeal creatures, and acts as though it has the flaming burst weapon special ability.",,,,,"Critical Focus, Weapon Focus",,,,Inner Sea Gods

Thicket Channel,general,"Channel energy 7d6, worshiper of Erastil.",Your deity infuses your channeled energy with bounty.,"When you channel positive energy, you can cause plants in the affected area to grow as though targeted by the overgrowth version of plant growth (caster level equal to your effective cleric level).",,,,,,,,,Inner Sea Gods

To The Last,combat,"Diehard, Endurance, worshiper of Gorum.",Your devotion to battle inspires you to fight competently until death claims you.,"When you are disabled, you are not staggered, though performing standard actions still deals 1 point of damage to you. Taking a full-round action deals 2 points of damage to you.",,,,,"Diehard, Endurance",,,,Inner Sea Gods

Torch Bearer,combat,,"You can make use of a torch as a deadly, macelike weapon.","You treat a torch as a light weapon that deals bludgeoning damage equal to that of a light mace of its size plus 1 point of fire damage, and you do not incur penalties as you would for using it as an improvised weapon.",A torch used in combat is treated as a one-handed improvised weapon that deals bludgeoning damage equal to that of a gauntlet of its size plus 1 point of fire damage.,,,,,,,,Inner Sea Gods

Trailblazing Channel,general,"Channel energy 3d6, worshiper of Desna.",Your positive energy makes trailblazers of those you heal.,"Once per day when you channel positive energy, you can cause healed creatures to be unimpeded by difficult terrain for a number of minutes equal to your Charisma modifier (minimum 1 minute).",,,,,,,,,Inner Sea Gods

Undermining Exploit,general,Knowledge (dungeoneering) 4 ranks.,Your familiarity with earth and stone gives you a distinct advantage on rocky battlefields.,"You gain a +4 insight bonus on combat maneuver checks against opponents occupying a square of rocky difficult terrain such as rubble, broken ground, or steep stairs.",,,,,,Knowledge (dungeoneering) 4,,,Inner Sea Gods

Wave Master,general,Worshiper of Gozreh.,Gozreh has seen fit to bless you as an uncommonly skilled swimmer.,"When you succeed at a Swim check, you can move your full speed as a full-round action or half your speed as a move action. This does not grant you the benefit of having a swim speed.",A successful Swim check allows you to move up to half your speed as a full-round action or up to a quarter your speed as a move action.,,,,,,,,Inner Sea Gods

Troth Of The Forgotten Pharaoh,general,Must be a member of the Cult of the Forgotten Pharaoh.,"You've pledged your body to the Forgotten Pharaoh, and are willing to sacrifice yourself to keep his secrets even in death.","Upon taking this feat, you undergo a ritual where the cartouche of Pharaoh Hakotep I is carved into your flesh (typically on the chest or back), and then embellished with painful crimson and ochre tattoos. The ritual takes 1 hour to complete, and you take 3 points of damage from the wound (see Special, below). Upon completion of the ritual, you gain the feat's benefits.  As an immediate action, or when you die, you can cause white-hot fire to burst from the tattooed cartouche on your flesh, immolating your body in a bright flash and instantly reducing it to ash. If you are still alive, you are immediately slain. Spells such as raise dead or speak with dead cannot be used on your remains, but your equipment is unaffected.  As the fire consumes you, fiery snakes whip out of your body in a 5-foot-radius burst, dealing 1d6 points of fire damage + 1 per character level. Creatures in the area can attempt a Reflex save to negate the damage (DC 10 + 1/2 your character level + your Constitution modifier). In addition, creatures within a 10-foot burst must succeed at a Fortitude save (DC 10 + 1/2 your character level + your Constitution modifier) or be blinded for 1 round. Blind or sightless creatures are unaffected by this blinding effect.",,"You permanently lose 3 hit points when you take this feat. This damage can only be healed with a miracle or wish spell, but doing so causes you to lose all benefits of this feat.",,,,,,,AP 81

Cleansing Burst,general,"Able to cast remove disease or the ability to cure disease with a mercy, channel positive energy class feature.",Your channeled energy wards off disease.,"When you channel positive energy to harm or turn undead creatures, any undead creatures in the area lose the ability to cause disease with their melee and ranged attacks for 1d4+1 rounds. If an undead creature successfully saves against your channeled energy, this duration is reduced to 1 round for that creature. Immunity to positive energy negates this ability.  When you channel positive energy to heal living creatures, any living creatures in the area gain a +4 sacred bonus on saving throws against disease for 1d4+1 rounds. Creatures not healed by positive energy receive no benefit.",,,,,,,,,AP 81

Infectious Weapons,general,Ability to cause disease with a natural weapon via an extraordinary or supernatural ability.,Your weapons spread your sickness.,"Creatures damaged by your ranged and melee weapon attacks have a chance to contract disease, as though they were damaged with your disease-spreading natural weapon.",,,,,,,,,AP 81

Pestilent,general,"Ability to cause disease via a spell, spell-like ability, or supernatural means.",Your unarmed strikes and natural weapons cause extra harm to those infected with your disease.,"When you successfully use a spell, spell-like ability, or supernatural ability to cause a creature to contract a disease, you gain a +2 bonus on attack rolls with natural weapons and unarmed strikes against that creature. In addition, such attacks deal an additional 1d6 points of negative energy damage. If you have the supernatural ability to cause a single disease (such as mummy rot), you gain these bonuses against any creature that has contracted the same disease, even if it did not contract it from you.",,,,,,,,,AP 81

Rallying Blow,general,Aura of courage.,"When you strike true in battle, you wash away allies' fear.","When you confirm a critical hit against an enemy, any fear effect affecting allies within 30 feet is reduced by one step. Panicked becomes frightened, frightened becomes shaken, and shaken is removed. In addition, any ally suffering other effects from a failed save against a fear effect, such as the paralysis from a mummy's despair aura, receives a new save against the effect at the original DC.",,,,,,,,,AP 81

Terrifying Strike,racial/general,"Despair special ability, mummy.",Your touch spreads fear.,"Any creature struck by your slam attack must succeed at a Will save at the same DC as your despair ability or be shaken for 1d4 rounds. If the creature is already shaken, frightened, or panicked, it is paralyzed for 1 round instead. This is a mind-affecting fear effect.",,,,,,,mummy,,AP 81

Agonizing Obedience,general,3 ranks in Heal.,You physically defile yourself out of zealous devotion to pain in order to gain special boons.,"When you take this feat, select an agony. You can gain this feat multiple times, each time selecting a different agony, but you can perform an obedience for only a single agony in a 24-hour period. Each agony requires a different obedience, but all obediences take only an hour to perform. Once the obedience has been performed, you take a number of minor penalties and gain the benefit of a resistance to some element or attack associated with your agony, as indicated below. Additionally, you gain the ability to make an agony strike. A number of times per day equal to 1 + 1 per every 5 Hit Dice you possess, when you deal damage to a creature, you can declare that attack as an agony strike. In addition to the normal damage dealt by the attack, you cause the target to take the penalties associated with your agony for 1 minute. Incorporeal creatures and creatures that are immune to critical hits are immune to agony strikes. If you have at least 12 Hit Dice, you also gain the first boon granted by your agony upon undertaking your obedience. If you have at least 16 Hit Dice, you gain the agony's second boon as well. If you have 20 Hit Dice or more, you also gain the agony's third boon. Unless a specific duration or number of uses per day is listed, a boon's effects are constant. If you ever fail to perform a daily obedience, or if you are healed of damage, conditions, or penalties caused in the course of performing your obedience, you lose all access to resistances and boons granted by this feat until you next perform the obedience.",,,,,,Heal 3,,,Occult Mysteries

Arithmancy,general,"Int 13, Spell Focus (divination), Spellcraft 3 ranks.",You are able to unravel the hidden meanings behind words by translating them into numerical equations. You can apply this insight to empower your magical effects.,"Immediately before casting a spell, as a swift action, you can attempt to augment a spell's casting using Arithmancy. To do so, determine the digital root of the name of the spell you are casting. To find the digital root of a spell name, first assign a numerical value to each letter of the name, per the Letter Values table. Once you have a string of digits, sum them. If the result has more than one digit, sum those digits. Repeat this process until you arrive at a single number, called the digital root. Once you've translated the name of the spell into a single digital root, attempt a Spellcraft check with a DC equal to 10 + the spell level + the digital root. If your check succeeds, the spell is cast at +1 caster level. If your check fails, the spell is cast at -1 caster level. If you do not cast the spell you intended to augment with arithmancy, the spell is expended with no effect, though you retain the action you would have spent to cast it. Metamagic effects are not included in a spell's name when determining the spell's digital root, but they increase the spell's level as normal when determining the DC of the Spellcraft check. You can use this ability a number of times per day equal to the number of caster levels you possess. For example, Ezren wants to use Arithmancy to cast an augmented fireball. First, he translates the spell name into numbers. Fireball translates to 6, 9, 9, 5, 2, 1, 3, 3. Then he calculates the digital root. In this case, 6 + 9 + 9 + 5 + 2 + 1 + 3 + 3 = 38, 3 + 8 = 11, and 1 + 1 = 2. Therefore, the digital root of fireball is 2. He then attempts a Spellcraft check against a DC of 15 (10 + 3 [fireball's spell level] + 2 [fireball's digital root]). If his check succeeds, he can cast the fireball this round at +1 caster level. If he fails, he can cast the spell at -1 caster level this round. He may also choose not to cast fireball and perform another action, though he expends the spell.",,,,,Spell Focus,Spellcraft 3,,,Occult Mysteries

Calculating Mind,general,"Sacred Geometry, Knowledge (engineering) 5 ranks.",You see potential in the world around you that nobody else notices. Your numerological abilities are heightened by this uncommon aptitude.,"Anytime you use the Sacred Geometry feat, you can use d8s instead of d6s when rolling your dice pool. You can use any combination of d6s and d8s that you wish, as long as the number of dice does not exceed the number of ranks you possess in Knowledge (engineering).",,,,,Sacred Geometry,Knowledge (engineering) 5,,,Occult Mysteries

Sacred Geometry,general,"Int 13, Knowledge (engineering) 2 ranks",You can use your mathematical prowess to add metamagic effects to your spells without using a higher-level spell slot.,"When you take this feat, select two metamagic feats you do not yet have. When casting a spell, you can perform the steps below to spontaneously apply the effects of either or both of these metamagic feats, as well as any other metamagic feats you have, to the spell without expending a higher-level spell slot. Using a feat in this way increases the spell's casting time to the casting time it would take if the character were a sorcerer or bard (sorcerers and bards using this ability increase the spell's casting time by two categories; see page 113 of the Core Rulebook); applying the Quicken Spell metamagic effect negates the increased casting time but still contributes to the modified spell's effective spell level. You can take this feat more than once; each time, select two additional metamagic feats, adding their effects to the list of possible effects you can apply to spells with this ability. When casting a spell using Sacred Geometry, first determine the effective spell level of the modified spell you are attempting to cast (calculated as normal for a spell modified by metamagic feats). You can apply any number of metamagic effects to a single spell, provided you are able to cast spells of the modified spell's effective spell level. Refer to the Prime Constants table to determine the prime constants that can be used to cast a spell of the desired effective spell level. Then roll a number of d6s equal to the number of ranks you possess in Knowledge (engineering). Perform some combination of addition, subtraction, multiplication, and division upon the numbers rolled that gives rise to one of the relevant prime constants. If you can produce one of the relevant prime constants, the spell takes effect with the declared metamagic effects, and you expend a spell slot of the unaltered spell's level. If you are unsuccessful, you fail to cast the spell, the action used to cast the spell is lost, and the spell slot is used up. The DC of any concentration check to cast a spell affected by this feat uses the effective spell level used to determine the prime constants, even though a successful casting of the spell does not expend a higher-level spell slot. For example, suppose Ezren wants to add the enlarged and empowered effects to the magic missile he just cast. He adds the total level increases of the metamagic effects to the spell level: 2 [empower] + 1 [enlarge] + 1 [magic missile's base level] = 4, so the spell's effective level is 4. Ezren refers to the Prime Constants table, and determines that the prime constants for that effective spell level are 31, 37, and 41. Since Ezren has 5 ranks in Knowledge (engineering), he rolls 5d6. The results of his dice pool are 6, 6, 4, 3 and 1. He then performs the following operations to give rise to one of the prime constants he needs: (6 x 6) + (4 - 3) x 1 = 37. Note that he could also combine the numbers as follows: ([6 + 6] x 3) + 4 + 1 = 41. He has produced one of the prime constants for the desired effective spell level, so his empowered enlarged magic missile takes effect after the full-round casting time, and uses only a 1st-level spell slot. If the result of Ezren's dice pool were 1, 1, 2, and 5, he would have been unable to produce any of the relevant prime constants. His attempt would have been unsuccessful, and he would have expended a full-round action and his prepared 1st-level magic missile spell with no effect.",,,,,,Knowledge (engineering) 2,,,Occult Mysteries

Harrowed Summoning,general,Harrowed (Pathfinder Campaign Setting: The Inner Sea World Guide 287).,Your summoned creatures are empowered by the magic of the harrow.,"When you cast a conjuration (summoning) spell or use a spell-like ability to summon one or more creatures, you can draw two random cards from a complete harrow deck you own. Doing so adds both a somatic component (if the spell does not already have one) and a focus component (the harrow deck) to the spell, but does not increase the spell's casting time. For the duration of the spell, each summoned creature gains a +4 enhancement bonus to the corresponding ability scores of the drawn card's suits. If both cards are the same suit, each summoned creature gains a +6 bonus to that ability score instead. If either card's alignment is a true match for the summoned creatures' alignment, the duration of the spell is doubled, while drawing an opposite match halves the duration of the spell. If both a true match and an opposite match are drawn, the spell's duration is unchanged. A creature summoned in this way is distinctly altered by the cards drawn. Its physical appearance ref lects the visual elements of the cards (for example, a creature summoned with The Publican might have only one eye). The creature's personality is also influenced by the cards, but not so much as to alter its alignment (for example, The Snakebite might summon a creature that likes to gossip).",,,,,Harrowed,,,,The Harrow Handbook

Deadly Dealer,general,"Arcane Strike, Sleight of Hand 5 ranks.",Your skill with handling a deck and your arcane talents allow you to turn mundane cards into weapons.,"You can throw a card as though it were a dart, with the same damage, range, and other features. You must use the Arcane Strike feat when throwing a card in this way, or else the card lacks the magical force and precision to deal lethal damage. A card is destroyed when thrown in this way. Harrow cards are treated as masterwork weapons when thrown using this feat, but are still destroyed after they are thrown. A harrow deck can no longer be used as a fortune-telling device after even a single card is thrown. A spellcaster with this feat can enhance a deck of cards as though it were a ranged weapon with 54 pieces of ammunition. This enhancement functions only when used in tandem with this feat, and has no affect on any other way the cards might be used. Only a character who possesses this feat can use an enhanced deck of cards; she must still use the Arcane Strike feat to activate the cards' enhancement.",,,,,Arcane Strike,Sleight of Hand 5,,,The Harrow Handbook

All-Consuming Swing,combat,"Str 13, Power Attack, Cleave, Vital Strike, base attack bonus +8.","You deliver unchecked destruction when you stand against multiple foes, sometimes to your own detriment.","Whenever you use Cleave or Great Cleave, you can apply the additional damage you would gain from Vital Strike, Improved Vital Strike, or Greater Vital Strike to the initial target of your attack. When you do so, the strain on your body causes you to take an amount of damage equal to the extra damage dealt by your Vital Strike feat. This self-inflicted damage is not reduced by damage reduction.",,,,,"Power Attack, Cleave, Vital Strike",,,,The Harrow Handbook

Bear's Balance,combat,"Iron Will, rage class feature.","Your anger is always available below the surface, but can be carefully directed. Those who would force you to lose control encounter an unpleasant surprise.","You gain a +2 bonus on Intimidate checks when not raging. When you fail a saving throw against a fear effect, you can choose to enter your rage rather than succumb to fear. You can not voluntarily end your rage until the fear effect expires or is ended in some other way (such as due to the death of the fear-inducing creature) or you exhaust your rounds of rage for the day. This feat has no effect if you are already raging when exposed to a fear effect.",,,,,Iron Will,,,,The Harrow Handbook

Merciless Beating,combat,"Int 13, Combat Expertise, Gang Up.","When you have the numbers on your side, you can lend your strength to the group to give your shared enemy a savage pummeling.","Whenever you and two or more allies threaten an opponent, you can choose to forgo your flanking bonus to grant each of your allies a +1 flanking bonus on their attack rolls against the threatened creature. This bonus stacks with any flanking bonuses your allies might already have.",,,,,"Combat Expertise, Gang Up",,,,The Harrow Handbook

Elemental Commixture,teamwork/general,Caster level 1st.,You can combine your elemental spells with those of your allies to produce entirely new and synergistic magical effects.,"You and an ally within 30 feet who shares this feat can cast your spells together to create a more powerful, hybrid effect. Both spells must have an elemental descriptor (air, earth, fire, or water), or an energy descriptor that corresponds to one of the elements (acid [earth], cold [water], electricity [air], or fire [fire]) . Both spells must be at least 1st level, within 1 spell level of each other, and cast during the same initiative turn through the use of readied actions. When the spells to be commixed are cast, one is designated as the primary spell (typically the higherlevel spell), while the other is the secondary spell. The primary spell must be an offensive spell that targets an area or one or more creatures. The secondary spell can be any spell with an appropriate descriptor. Neither spell can take more than a standard action to cast. The primary spell behaves as written (with the exception of the synergistic benefits that are described below). The secondary spell does not manifest any of its usual effects; instead, targeted creatures are affected by a secondary effect that is determined by the combination of the two spells' descriptors. Targeted creatures can attempt a saving throw against the primary spell as normal (assuming that a save is normally allowed), and then attempt a separate save against the secondary effect. The secondary effect's save type is described in its listing, and its save DC is equal to the normal save DC of the primary or secondary spell, whichever is lower (or, if neither spell allows a saving throw, 10 + lowest spell's level + spellcaster's primary spellcasting ability score [Int, Wis, or Cha] modifier). Commixed spells cannot be counterspelled normally. A creature with Improved Counterspell can counterspell commixed spells if both spells are correctly identified and both belong to the same school. Regardless, the secondary effects of two spells combined through Elemental Commixture cannot be counterspelled. Spell resistance still applies to the secondary effect, unless both of the commixed spells bypass spell resistance. Synergistic Benefits: The primary spell's save DC (if any) increases by 1. If either spell is normally modified by Spell Focus or Greater Spell Focus, the bonus to save DCs granted by those feats stacks with this increase. The caster of the primary spell also gains a +1 bonus on any caster level check made to overcome spell resistance. Secondary Effects: While the secondary spell has no direct effect other than bolstering the effects of the primary spell, the combination of spells also creates a unique secondary effect depending on the elemental descriptors of the commixed spells. For the purpose of this secondary effect, the acid, cold, and electricity descriptors count as earth, water, and air descriptors, respectively. Commixed spells with the same elemental descriptors do not produce a secondary effect, though the primary spell still gains the synergistic benefits described above. &#8226; Dust (Air/Earth): Choked by dust, the targets must succeed at a Fortitude save or become staggered for 1 round plus 1 round per 5 caster levels of the secondary spell's caster. Targeted spellcasters must succeed at a concentration check to cast spells (the DC is equal to the save DC). On a successful save, the targets are not staggered but must still attempt concentration checks. &#8226; Lava (Earth/Fire): The targets are splattered with bits of molten rock and take 1d6 points of fire damage. The targets must succeed at a Reflex save or catch fire (see Catching on Fire on page 444 of the Pathfinder RPG Core Rulebook). &#8226; Mud (Earth/Water): The targets must succeed at a Reflex save or fall prone and have their movement speeds cut in half (to a minimum speed of 5 feet) for 1 round plus 1 round per 5 caster levels of the secondary spell's caster. On a successful save, the targets' movement speeds are cut in half for 1 round. &#8226; Smoke (Air/Fire): The targets suffer smoke inhalation and must succeed at Fortitude saves or become nauseated for 1 round and blinded for 1d4 rounds. Success negates the nausea effect and reduces the blindness to 1 round. Creatures immune to fire are immune to the nausea effect. &#8226; Snow (Air/Water): The primary spell gains the cold descriptor if it doesn't have that descriptor already, and half the damage dealt (if any) is cold damage. The targets must succeed at a Reflex save or fall prone. &#8226; Steam (Fire/Water): Damage caused by the primary spell (if any) is treated as nonlethal, untyped damage (neither cold nor fire damage) and is not affected by energy resistance or absorbed by protection from energy. The targets become blinded for 1d4 rounds unless they succeed at a Will save.",,"An inquisitor or any other character with the solo tactics class feature can use this teamwork feat without the aid of an ally. In order to do so, the character must be able to cast two qualifying spells within the same round, such as by using the Quicken Spell metamagic feat to cast one spell as a swift action or by using0 effects such as the time stop spell.",,,,,,,Blood Of The Elements

Call Out,combat,,A well-crafted insult forces an opponent to duel you.,"As a standard action, you can make an Intimidate check against a hostile target within 30 feet that can clearly see and hear you. The DC of this check is equal to 10 + your opponent's Hit Dice + its Wisdom modifier. If the target is trained in Sense Motive, the DC is instead equal to 10 + your opponent's Sense Motive bonus, if higher. If you succeed at this check, the target enters a duel with you (Ultimate Combat 150). The target cannot withdraw from the duel for 1 round + 1 round for every 5 by which the check beat the DC.",,,,,,,,,People Of The River

Improved Parry,combat,"Int 13, Combat Expertise.",A flick of the wrist binds your opponent's weapon.,"When you successfully parry a foe's melee attack (with a dueling parry or the parry class feature), your next melee attack against the target does not allow the enemy to apply its Dexterity bonus to AC (if any). This attack must be made before the end of your next turn.",,,,,Combat Expertise,,,,People Of The River

Sweeping Dodge,combat,"Dex 13, Dodge.",A quick sweep of your cloak def lects an incoming attack.,"When you make a dueling dodge while wearing a cloak, you gain evasion (as the rogue ability). If a critical hit or sneak attack is scored on you, there is a 25% chance that the critical hit or sneak attack is negated and damage is instead rolled normally. This feat only applies until the attack that triggered the immediate action is resolved. This feat does not stack with the fortification armor special ability or similar effects.",,,,,Dodge,,,,People Of The River

Leap Frog,combat,Acrobatics 3 ranks.,You can use an opponent as a springboard.,"When you spend a swift action to attempt a performance combat check after a successful charge attack or combat maneuver, you gain a +2 bonus on your performance combat check and gain a +4 bonus on your next Acrobatics, Climb, Fly, Ride, or Swim check attempted before the end of your next turn.",,,,,,Acrobatics 3,,,People Of The River

Second Wind,combat,Endurance.,The roar of the crowd strengthens your resolve.,"When you spend a swift action to attempt a performance combat check, you gain a +2 bonus on your performance combat check, and if you are shaken, sickened, or fatigued, these conditions are suppressed until the end of your next turn.",,,,,Endurance,,,,People Of The River

River Raider,combat,,"You are skilled at creeping up on watercraft without being noticed, then swiftly leaping over the side and into combat.","You gain a +2 bonus on Swim and Stealth checks while swimming in calm or rough water. In addition, if you're able to act in a surprise round and start it in water, you can take both a move and a standard action. You still can't take a full-round action during the surprise round.",You can take only a move or a standard action during a surprise round in which you can act.,,,,,,,,People Of The River

Waterway Caster,general,,You have learned to cast spells while sailing on or swimming in even the most turbulent waters.,You automatically succeed at any concentration checks required to cast a spell while being subjected to vigorous or violent motion while either swimming or on a ship. You gain a +4 bonus on concentration checks to cast spells underwater.,,,,,,,,,People Of The River

Craft Cybernetics,general,"Technologist, Heal 9 ranks, Knowledge (engineering) 9 ranks",You can build cyberware and install it in a creature's body.,"You can create cybernetic items. Creating a cybernetic item takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High-Tech Items on page 16 for more information. You can repair a broken cybernetic item if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch. You can also install a cybernetic item in a creature's body. See the Cybertech section on page 35 for more information on installing cyberware.",,,,,Technologist,"Heal 9, Knowledge (engineering) 9",,,Technology Guide

Craft Pharmaceutical,general,"Technologist, Heal 9 ranks, Knowledge (nature) 9 ranks",You can craft pharmaceuticals.,"You can create any pharmaceutical or poison. Creating a pharmaceutical takes 2 hours if its base price is 250 gp or less; otherwise, the creation of the pharmaceutical takes 1 day for every 1,000 gp in its price. To create the pharmaceutical or poison, you must use up raw materials costing half of this total price. See Crafting High-Tech Items on page 16 for more information.",,,,,Technologist,"Heal 9, Knowledge (nature) 9",,,Technology Guide

Craft Technological Arms And Armor,general,"Technologist, Craft (mechanical) 7 ranks, Knowledge (engineering) 7 ranks",You can build technological weapons and armor.,"You can create technological weapons or armor. Creating a technological weapon or suit of armor takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High-Tech Items on page 16 for more information. You can also repair a broken technological weapon or suit of armor if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch.",,,,,Technologist,"Craft (mechanical) 7, Knowledge (engineering) 7",,,Technology Guide

Craft Technological Item,general,"Technologist, Craft (mechanical) 5 ranks, Knowledge (engineering) 5 ranks",You can craft technological gear and items.,"You can create technological gear. Creating a piece of technological gear takes 1 day for every 1,000 gp in the item's price. To create the object, you must use up raw materials costing half of this total price. See Crafting High- Tech Items on page 16 for more information. You can also repair a broken technological item if it is one that you could make. Doing so costs half the raw materials and half the time it would take to craft that item from scratch.",,,,,Technologist,"Craft (mechanical) 5, Knowledge (engineering) 5",,,Technology Guide

Robot's Bane,general,Knowledge (engineering) 5 ranks,You have trained to avoid the attacks and effects employed by robots and technology and to combat them effectively.,"You gain a +1 bonus on attack and damage rolls against creatures with the robot subtype. Additionally, you gain a +1 dodge bonus to your AC and a +1 bonus on saving throws against attacks and effects from robots. If you have at least 11 ranks in Knowledge (engineering), these bonuses increase to +2. If you have at least 17 ranks in Knowledge (engineering), these bonuses increase to +3.",,"If you have constructs as a favored enemy, you can use your favored enemy bonus toward constructs in place of the bonus granted by this feat if it's larger. These bonuses do not stack with those granted by other abilities that allow you to add your favored enemy bonus to AC or on saving throws.",,,,Knowledge (engineering) 5,,,Technology Guide

Scavenger's Luck,general,Knowledge (engineering) 1 rank,You coax better behavior out of timeworn technology.,"When your check for using a piece of timeworn technology results in a glitch, you can roll again. You must choose to reroll before determining the specific glitch, and must take the second result, even if it's worse. When you use timeworn technology, it doesn't automatically glitch on a natural 1.",,,,,,Knowledge (engineering) 1,,,Technology Guide

Technologist,general,,You are familiar with the basic mechanics of technology.,"You are considered to be trained in any skill used against a technology-based subject. If the skill in question requires training to use even against non-technological subjects, you must still have ranks in that skill in order to gain the benefit of Technologist.","You treat all skill checks made against technology as if they were untrained skill checks. This may mean that you cannot attempt certain skill checks, even if you possess ranks in the skill in question.",,,,,,,,Technology Guide

Technology Adept,combat,"Dex 13, Exotic Weapon Proficiency (firearms), Point-Blank Shot",You utilize high-tech firearms to maximum effect.,"When you attack with a technological firearm that consumes charges, the save DC of any effect caused by that firearm increases by 1. If your bonuses from Point- Blank Shot apply, it increases by 2 instead.",,,,,"Exotic Weapon Proficiency, Point-Blank Shot",,,,Technology Guide

Technophobe,general,Improved Sunder,Smashing technological abominations brings you joy.,"When you reduce a robot to 0 hit points or destroy a technological item possessed by an enemy, you receive a +2 morale bonus on ability checks, attack rolls, saving throws, and skill checks for a number of rounds equal to your Wisdom bonus (minimum 1 round). You receive this bonus for destroying an unattended object so long as it was in the possession of an enemy within the last round.",,,,,Improved Sunder,,,,Technology Guide

Wrest Charge,general,"Disable Device 5 ranks, Knowledge (engineering) 5 ranks",You can extract a charge from otherwise depleted technology.,"With a successful DC 20 Disable Device check, you can jury-rig a depleted (but not destroyed) battery so it provides 1 more charge. Using this charge or failing your check by 5 or more permanently depletes the battery. You can attempt the same check to add 1 last charge to a discharged piece of timeworn technology. Regardless of the outcome, no other attempts can be made, even by another person. Using this feat takes 1 minute. You can attempt to wrest a charge as a move action by taking a -10 penalty on your check. This feat does not stack with the charge cycling deed.",,,,,,"Disable Device 5, Knowledge (engineering) 5",,,Technology Guide

Aberrant Tumor,general,Aberrant bloodline.,"To the surprise of others, that strange growth on you is actually your spellcasting companion.","You gain a tumor familiar, as the tumor familiar alchemist discovery (Pathfinder RPG Ultimate Magic 17), with an effective alchemist level equal to the level of the class that grants your aberrant bloodline for determining the tumor familiar's abilities. If multiple classes grant you the aberrant bloodline, those class levels stack for determining your effective alchemist level.",,,,,,,,,Advanced Class Guide

Amateur Investigator,general,"Int 13, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature.",Your knowledge is more than plain smarts-it's inspired.,"Like an investigator, you have the ability to augment your Knowledge, Linguistics, and Spellcraft skill checks. You gain a pool of inspiration equal to your Intelligence modifier. You can expend one use of inspiration as a free action to add 1d6 to the result of a Knowledge, Linguistics, or Spellcraft check, as long as you are trained in that skill (even if you take 10 or 20 on that check). You make this choice after the check is rolled and before the results of the roll are revealed. You can use inspiration only once per skill check. Your pool of inspiration refreshes each day, typically after you get a restful night's sleep.",,"If you gain levels in a class that has the inspiration class feature, you can immediately trade this feat for the Extra Inspiration feat.",,,,@ Knowledge 1,,,Advanced Class Guide

Amateur Swashbuckler,combat,No levels in a class that has the panache class feature.,"Although you're not a swashbuckler, you have and can use panache.","You gain a small amount of panache and the ability to perform a single 1st-level swashbuckler deed. Choose a 1st-level deed from the swashbuckler's deeds class feature (see page 56; you can't select opportune parry and riposte). Once chosen, this deed can't be changed.  At the start of each day, you gain 1 panache point. Throughout the day, you can gain a number of panache points, up to a maximum equal to your Charisma modifier (minimum 1). You can regain panache points as the swashbuckler's panache class feature (see page 56). You can spend these points to perform the 1st-level deed you chose upon taking this feat as well as any other deeds you have gained through feats or magic items.",,"If you later gain levels in a class that has the panache class feature, you can immediately trade this feat for the Extra Panache feat.",,,,,,,Advanced Class Guide

Animal Soul,general,Animal companion or mount class feature.,Your close bond with an animal allows you to use magic that targets animals on yourself.,"You can allow spells and effects that affect animals, animal companions, and special mounts to affect you, even if the spells do not normally affect creatures of your type. For example, you could cast animal growth or reduce animal on yourself, even though those spells normally affect only animals. An ally could cast raise animal companion on you to bring you back from the dead. An opponent could not cast charm animal or dominate animal on you unless you chose to allow the spell to affect you as if you were an animal.",,,,,,,,,Advanced Class Guide

Anticipate Dodge,combat,"Dodge, Mobility; base attack bonus +7, brawler level 4th, or monk level 4th.",Your knowledge of mobility and your attack prowess allow you to thwart elusive opponents.,You automatically know whether a creature you can see has a dodge bonus to its AC. You gain up to a +2 bonus on attack rolls against a target that has a dodge bonus. This bonus cannot exceed the dodge bonus of the creature you attack.,,,,,"Dodge, Mobility",,,,Advanced Class Guide

